name,price,review,availability,link
"Materac, sprężyny kieszeniowe, 140x200 cm",999,Recenzja: 4.7 z 5 gwiazdki. Łączna liczba recenzji: 545,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/valevag-materac-sprezyny-kieszeniowe-srednio-twardy-jasnoniebieski-10450667/
"Materac, sprężyny kieszeniowe, 160x200 cm",999,Recenzja: 4.8 z 5 gwiazdki. Łączna liczba recenzji: 341,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vesteroey-materac-sprezyny-kieszeniowe-srednio-twardy-jasnoniebieski-40450623/
"Materac, sprężyny kieszeniowe, 160x200 cm",2 299,Recenzja: 4.7 z 5 gwiazdki. Łączna liczba recenzji: 215,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vagstranda-materac-sprezyny-kieszeniowe-twardy-jasnoniebieski-30450751/
"Materac sprężynowy, 140x200 cm",699,Recenzja: 4.7 z 5 gwiazdki. Łączna liczba recenzji: 121,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vestmarka-materac-sprezynowy-srednio-twardy-jasnoniebieski-70451287/
"Materac piankowy, 90x200 cm",179,Recenzja: 4.5 z 5 gwiazdki. Łączna liczba recenzji: 126,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/agotnes-materac-piankowy-twardy-jasnoniebieski-00480858/
"Materac piankowy, 90x200 cm",349,Recenzja: 4.7 z 5 gwiazdki. Łączna liczba recenzji: 54,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/afjaell-materac-piankowy-srednio-twardy-bialy-40568646/
"Materac piankowy, 160x200 cm",1 599,Recenzja: 4.9 z 5 gwiazdki. Łączna liczba recenzji: 85,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/akrehamn-materac-piankowy-twardy-bialy-60481647/
"Materac, sprężyny kieszeniowe, 160x200 cm",2 999,Recenzja: 4.5 z 5 gwiazdki. Łączna liczba recenzji: 52,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vatnestroem-materac-sprezyny-kieszeniowe-twardy-naturalny-90476404/
"Materac piankowy, 90x200 cm",799,Recenzja: 4.8 z 5 gwiazdki. Łączna liczba recenzji: 86,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/abygda-materac-piankowy-srednio-twardy-bialy-50481493/
"Materac piankowy, 160x200 cm",2 299,Recenzja: 4.7 z 5 gwiazdki. Łączna liczba recenzji: 56,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/anneland-materac-piankowy-twardy-bialy-20481710/
"Materac sprężynowy, 140x200 cm",449,Recenzja: 4.2 z 5 gwiazdki. Łączna liczba recenzji: 49,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vadsoe-materac-sprezynowy-twardy-jasnoniebieski-90451229/
"Mata, 140x200 cm",179,,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/nopakte-mata-bialy-10559653/
"Materac/puf, 80x200 cm",399,Recenzja: 4.3 z 5 gwiazdki. Łączna liczba recenzji: 6,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vithaell-materac-puf-bardzo-twardy-vissle-szary-10565418/
"Mata, 140x200 cm",249,,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/naesfjaellet-mata-bialy-80558042/
"Materac piankowy na łóżko rozsuwane, 80x200 cm",199,Recenzja: 4.9 z 5 gwiazdki. Łączna liczba recenzji: 23,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/plutten-materac-piankowy-na-lozko-rozsuwane-50339391/
"Mata, 160x200 cm",599,,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/nisseholm-mata-bialy-00558404/
"Materac, sprężyny kieszeniowe, 80x200 cm",449,Recenzja: 4.9 z 5 gwiazdki. Łączna liczba recenzji: 14,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vannareid-materac-sprezyny-kieszeniowe-twardy-bezowy-90486728/
"Mata, 160x200 cm",799,,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/nordberget-mata-bialy-30558474/
Puf/materac składany,399,Recenzja: 4.7 z 5 gwiazdki. Łączna liczba recenzji: 47,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/slaekt-puf-materac-skladany-10362963/
"Materac piankowy na łóżko rozsuwane, 80x200 cm",349,Recenzja: 4.9 z 5 gwiazdki. Łączna liczba recenzji: 56,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/vimsig-materac-piankowy-na-lozko-rozsuwane-40339382/
"Ochraniacz na materac, 140x200 cm",59,Recenzja: 4.7 z 5 gwiazdki. Łączna liczba recenzji: 517,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/luddros-ochraniacz-na-materac-40461631/
"Materac piankowy do łóżka młodzież., 70x160 cm",249,Recenzja: 4.8 z 5 gwiazdki. Łączna liczba recenzji: 74,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/underlig-materac-piankowy-do-lozka-mlodziez-bialy-30339392/
"Materac sprężynowy do łóżka rozsuw., 80x200 cm",399,Recenzja: 4.8 z 5 gwiazdki. Łączna liczba recenzji: 47,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/innerlig-materac-sprezynowy-do-lozka-rozsuw-90339389/
"Mata, 180x200 cm",549,Recenzja: 5 z 5 gwiazdki. Łączna liczba recenzji: 3,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/tuddal-mata-bialy-00298185/
"Ochraniacz na materac, 90x200 cm",15,Recenzja: 4.6 z 5 gwiazdki. Łączna liczba recenzji: 41,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/tagelsaev-ochraniacz-na-materac-70503309/
"Klin do materaca, 195 cm",39,Recenzja: 4.1 z 5 gwiazdki. Łączna liczba recenzji: 107,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/siggerud-klin-do-materaca-40272353/
"Materac spręż kiesz na łóżeczko, 60x120x11 cm",299,Recenzja: 5 z 5 gwiazdki. Łączna liczba recenzji: 30,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/jaettetroett-materac-sprez-kiesz-na-lozeczko-bialy-40321004/
"Ochraniacz na materac, 160x200 cm",199,Recenzja: 5 z 5 gwiazdki. Łączna liczba recenzji: 3,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/kejsarolvon-ochraniacz-na-materac-bezowy-niebieski-30580432/
"Materac piankowy na łóżko rozsuwane, 80x200 cm",449,Recenzja: 4.9 z 5 gwiazdki. Łączna liczba recenzji: 40,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/nattsmyg-materac-piankowy-na-lozko-rozsuwane-40339377/
"Materac piankowy do łóżeczka, 60x120x6 cm",129,Recenzja: 4.5 z 5 gwiazdki. Łączna liczba recenzji: 12,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/pelleplutt-materac-piankowy-do-lozeczka-00336413/
"Materac piankowy do łóżeczka, 60x120x5 cm",70,Recenzja: 4.6 z 5 gwiazdki. Łączna liczba recenzji: 22,Chwilowe ograniczenia w dostawie,https://www.ikea.com/pl/pl/p/pluttig-materac-piankowy-do-lozeczka-00314581/
"Materac spręż kiesz na łóżko rozs, 80x200 cm",599,Recenzja: 5 z 5 gwiazdki. Łączna liczba recenzji: 24,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/oemsint-materac-sprez-kiesz-na-lozko-rozs-10339388/
"Materac piankowy do łóżeczka, 60x120x8 cm",199,Recenzja: 4.9 z 5 gwiazdki. Łączna liczba recenzji: 33,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/krummelur-materac-piankowy-do-lozeczka-00321015/
"Pokrycie na leżankę, 80x200 cm",149,Recenzja: 4.8 z 5 gwiazdki. Łączna liczba recenzji: 33,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/grong-pokrycie-na-lezanke-szary-90486813/
"Ochraniacz na materac, 160x200 cm",149,Recenzja: 4.8 z 5 gwiazdki. Łączna liczba recenzji: 21,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/radhusvin-ochraniacz-na-materac-welna-60558378/
"Wodoodporny ochraniacz na materac, 90x200 cm",59,Recenzja: 4.8 z 5 gwiazdki. Łączna liczba recenzji: 182,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/grusnarv-wodoodporny-ochraniacz-na-materac-30522135/
"Materac 3D do łóżeczka, 60x120x10 cm",499,Recenzja: 5 z 5 gwiazdki. Łączna liczba recenzji: 2,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/himlavalv-materac-3d-do-lozeczka-90321006/
"Wodoodporny ochraniacz na materac, 160x200 cm",139,Recenzja: 4.6 z 5 gwiazdki. Łączna liczba recenzji: 124,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/sotnaetfjaeril-wodoodporny-ochraniacz-na-materac-90531288/
"Materac piankowy do łóżeczka, 60x120x8 cm",229,Recenzja: 4.9 z 5 gwiazdki. Łączna liczba recenzji: 36,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/skoenast-materac-piankowy-do-lozeczka-70321012/
"Ochraniacz na materac, 160x200 cm",149,Recenzja: 4.8 z 5 gwiazdki. Łączna liczba recenzji: 471,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/aengskorn-ochraniacz-na-materac-80461988/
"Ochraniacz na materac, 60x120 cm",39,Recenzja: 5 z 5 gwiazdki. Łączna liczba recenzji: 58,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/lenast-ochraniacz-na-materac-bialy-70373100/
"Ochraniacz na materac, 160x200 cm",249,Recenzja: 4.7 z 5 gwiazdki. Łączna liczba recenzji: 19,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/rosenvial-ochraniacz-na-materac-80530859/
"Wodoodporny ochraniacz na materac, 80x200 cm",49,Recenzja: 4.7 z 5 gwiazdki. Łączna liczba recenzji: 60,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/lenast-wodoodporny-ochraniacz-na-materac-50440332/
"Materac do kołyski, 40x73x3.5 cm",100,Recenzja: 5 z 5 gwiazdki. Łączna liczba recenzji: 1,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/aelskvaerd-materac-do-kolyski-40515422/
"Wodoodporny ochraniacz na materac, 70x160 cm",49,Recenzja: 4.9 z 5 gwiazdki. Łączna liczba recenzji: 28,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/lenast-wodoodporny-ochraniacz-na-materac-bialy-70445791/
"Ochraniacz na materac, 70x100 cm",24,Recenzja: 4.8 z 5 gwiazdki. Łączna liczba recenzji: 40,Dostępne z dostawą,https://www.ikea.com/pl/pl/p/len-ochraniacz-na-materac-bialy-40143304/
